"last_name, first_name","player_id","year","on_base_plus_slg","xba","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Ozuna, Marcell",542303,2023,"0.904",".280",".298",".462",".481",".364",".375","-0.006","75",52.7,20.5,15.8,34.8,26.7,"7.5",7,13,-1.4,51.1,36.7,"91.8","15.6",34.9,66,16.6,6.5,22.4,22.6,28.1,3.3,49,"103.257673232","96.232240934"
"Bellinger, Cody",641355,2023,"0.881",".268",".165",".414",".357",".361",".321",".039","69.9",6.3,11.5,9.6,37.2,30.9,"7.6",10,12.6,-1.6,61.5,32.6,"87.9","17.2",38,26,6.1,5.4,26.7,34,25.5,2.1,31.4,"97.661544057","92.874372388"
"Ruiz, Keibert",660688,2023,"0.717",".274",".150",".319",".333",".291",".308","-0.014","66.4",2.3,5.7,4.8,37.5,31.9,"7.1",4,9.7,-10.2,58.7,32.9,"87.4","15.3",39.4,27,5.8,4.9,26.3,29.8,29.3,3.4,31.9,"97.263733176","92.681495075"
"Santana, Carlos",467793,2023,"0.747",".240",".138",".344",".323",".293",".294",".000","71.4",13.9,14.2,11.4,32.6,26.3,"7.5",3,11.2,-4.5,61.2,26.4,"88.8","12.8",31.3,30,6.7,4.7,24.2,28.2,34.7,1.3,36.4,"99.367236","93.791213073"
"Harris II, Michael",671739,2023,"0.808",".304",".186",".405",".421",".364",".379","-0.011","73.6",33.5,23.8,18.6,35.9,28.1,"7.9",7,5.6,0.8,44.7,29.4,"90.9","7.6",34.6,41,10,5.9,25.7,18.1,35.5,4.4,48.5,"103.586789505","96.131496609"
"Steer, Spencer",668715,2023,"0.820",".252",".165",".404",".373",".353",".330",".019","71.5",11.7,11.1,8.6,29.7,23,"7.4",13,10.5,-6,52.6,29.7,"88.7","15.3",35.3,30,6.7,6.5,25.3,29.5,28,3.1,37.1,"99.167567432","93.741896795"
"Hays, Austin",669720,2023,"0.769",".242",".178",".413",".381",".372",".330",".033","71.7",13.9,12.8,9.4,29.3,21.3,"7.1",16,11.4,-1.4,60.2,28.7,"89.4","10.4",31,34,8.9,7.6,23.4,25.5,32.3,2.1,40.1,"100.462787656","94.411352037"
"McKinstry, Zach",656716,2023,"0.653",".247",".148",".324",".359",".302",".325","-0.016","67.9",3.4,6.1,4.8,31.9,25.1,"6.9",3,12.3,-0.4,40.5,38.4,"87.2","17.8",37.1,27,7.6,5.9,23.9,31.2,26.1,4.8,33.5,"97.726678239","92.940971652"
"Abreu, José",547989,2023,"0.679",".248",".161",".342",".369",".308",".328","-0.011","74",41.6,16.1,11.8,28.1,20.5,"7.4",6,7.9,-0.4,48,32.5,"89","10.8",32.5,36,8.7,4.6,23.3,24.8,35.3,3.1,41.6,"100.821833606","94.59770588"
"García, Adolis",666969,2023,"0.836",".250",".276",".451",".471",".352",".363","-0.005","73.7",38.9,14.8,9.8,27.2,17.9,"7.9",5,12,-1.6,60.6,31.2,"92.1","15.7",36,62,16.1,8.5,19.9,25.4,28,2.1,49.7,"102.949539534","96.163808523"
"Abrams, CJ",682928,2023,"0.712",".247",".152",".349",".345",".308",".310","-0.002","71.5",20.2,14.1,11.3,31,24.8,"7.3",8,9.9,0.4,52,28.4,"87.4","13.5",32.6,31,6.9,7.5,21.7,26.2,31,6.7,35.9,"98.814933243","93.426357297"
"Garcia, Maikel",672580,2023,"0.681",".274",".119",".350",".380",".351",".361","-0.002","69.8",5,19.1,15.9,42.6,35.4,"7.1",6,7.3,8.3,58.7,28.6,"91.8","6.1",36.9,14,3.9,9.4,31.7,16.1,35.3,2.8,50.6,"101.538604663","95.500565408"
"Meneses, Joey",608841,2023,"0.722",".247",".115",".365",".329",".347",".312",".028","69.7",11.5,13.8,10.8,41.1,32.3,"6.7",10,7.6,-0.4,45.4,35.2,"89.4","9.4",32.9,26,5.4,5,26.2,23.6,36.8,3.1,41.7,"99.929364091","94.237468244"
"Hayes, Ke'Bryan",663647,2023,"0.762",".270",".166",".384",".380",".341",".342",".001","72.3",20.9,21.1,16.2,42.5,32.7,"6.9",4,6.2,-2.4,44.2,28.7,"92.2","13.2",34.1,29,7.4,9.9,26.2,24.7,29.5,1.5,48.3,"101.67326359","95.450846324"
"Guerrero Jr., Vladimir",665489,2023,"0.789",".299",".204",".356",".408",".314",".359","-0.035","75.5",52.3,18.6,14.6,30.5,23.9,"7.6",3,1.9,-5.6,29.3,27.5,"92.1","10.5",32.4,56,11.1,6.1,23.3,22.1,33.6,3.8,49.2,"104.050992964","96.528144743"
"Burger, Jake",669394,2023,"0.827",".270",".242",".454",".469",".354",".385","-0.020","76",64.7,23.4,16.3,32.5,22.7,"7.7",9,9.3,-8.4,59.6,24.3,"91.9","12.3",33.4,58,16.7,6.9,21.9,20.7,30.8,2.9,49.6,"105.009725862","96.989580029"
"Tovar, Ezequiel",678662,2023,"0.695",".248",".138",".389",".378",".352",".346",".005","71.9",21.4,12.6,8.6,29.2,20,"7.5",8,9.2,-2.7,39.1,37.5,"88","12.6",36.4,34,8.1,3.6,29.8,24.5,28.8,4.8,36.2,"99.019446394","93.628807036"
"Muncy, Max",571970,2023,"0.808",".235",".269",".410",".443",".304",".339","-0.023","71.3",14.9,14.5,10.8,34,25.2,"7.1",5,15.9,-4.6,49.6,33.5,"91.2","21.7",33.7,49,14.6,8.4,19.7,31.6,23.3,2.1,46.6,"101.315308623","95.11269018"
"Rodríguez, Julio",677594,2023,"0.818",".274",".201",".436",".431",".374",".372",".001","77.2",69.4,22,16.4,32.4,24.2,"8",10,7.9,-4.7,49.3,33.4,"92.7","8.5",31.8,57,11.9,7.3,21,20,36.4,3.3,52,"104.082287708","96.812366417"
"Cronenworth, Jake",630105,2023,"0.690",".238",".131",".321",".327",".287",".300","-0.009","68.3",4.2,10.2,8.9,31,27,"6.8",4,5.8,2.5,33.5,32.6,"87.4","15.2",35.7,16,4.4,8.4,22.9,29.7,28.3,5.4,33.2,"97.73147257","92.917093417"
"Suárez, Eugenio",553993,2023,"0.714",".223",".196",".400",".418",".352",".343",".009","72.3",22.3,12.8,8.7,30.6,20.8,"7.8",14,17.8,-0.6,52.1,38.2,"90.3","18.9",37.7,52,13.2,6.8,23.3,31.6,22.3,2.8,43,"100.661115455","94.726665316"
"Crawford, J.P.",641487,2023,"0.818",".260",".124",".388",".359",".345",".339",".006","71.9",23.3,12.6,10.5,31.3,26.1,"7.6",5,7.5,-4,44.8,33,"88.3","15.1",35.3,20,4.8,6.5,29.7,26.6,27.3,4.8,36.2,"99.143101569","93.649442623"
"Stephenson, Tyler",663886,2023,"0.695",".243",".154",".371",".385",".341",".343",".000","70.4",2.7,20.3,15.8,42.6,33.2,"7.5",10,11.1,1.6,51,37.6,"89.4","8.9",33.5,25,7.6,9.4,27.8,17.2,34.4,3.3,43.5,"100.030744788","94.357020636"
"Yoshida, Masataka",807799,2023,"0.783",".273",".153",".366",".350",".338",".321",".016","71.4",19.6,13.7,11.4,39.8,33.2,"7.4",5,5.9,0.5,40.1,31,"89","3.9",29.5,30,6.6,3.9,25.8,17.2,41.9,3.9,40.6,"100.123813246","94.28056556"
"Rutschman, Adley",668939,2023,"0.809",".292",".177",".362",".391",".331",".353","-0.015","70.3",10,15,13.1,34.9,30.5,"6.9",7,9.2,1.7,50.1,37.6,"88.4","12.6",37,37,7.5,6.5,28.7,23.8,30.3,3.3,38.6,"99.614450772","93.937278476"
"Semien, Marcus",543760,2023,"0.826",".262",".165",".377",".349",".327",".312",".014","68.7",4.9,10,8.5,37.2,31.6,"7.6",9,14,-4.4,59.8,33.4,"88.4","19.1",37.5,37,6.5,6.9,23.5,36.1,24.1,2.7,37,"98.08417844","93.189258191"
"Peña, Jeremy",665161,2023,"0.705",".265",".111",".354",".355",".339",".341","-0.002","71.6",16,14.2,10.3,32.8,23.8,"8",4,10.7,-2.8,49.1,33.3,"88","5.5",32.4,18,4,5.3,28,18.9,39.1,4.2,35.8,"99.143524796","93.690137489"
"Correa, Carlos",621043,2023,"0.711",".250",".168",".353",".380",".306",".336","-0.020","74.8",51.4,22.3,17.7,34.4,27.2,"7.3",3,9,-1.4,45.8,33.3,"90.4","10.6",31.1,37,9.6,7,23.6,22.8,30.8,5.2,45.9,"102.481230628","95.635527984"
"Arraez, Luis",650333,2023,"0.862",".329",".129",".374",".358",".374",".349",".025","63.9",0.2,7.2,6.6,49.2,45.2,"5.9",3,7.4,5.8,49.6,38.6,"88.3","11.5",44.7,19,3.5,3.7,33.8,24.8,30.7,3.5,25.7,"95.658900664","92.009454214"
"Arenado, Nolan",571448,2023,"0.774",".266",".170",".367",".358",".319",".320",".000","71.4",16.3,12.4,10.6,31,26.7,"8.2",14,12,-5.7,55,34.6,"88.8","16.9",33,34,7.3,6,25.5,29.8,28.9,2.6,38.1,"99.311427863","93.760489679"
"Kim, Ha-Seong",673490,2023,"0.749",".245",".114",".360",".335",".334",".317",".015","67.6",3.6,7.4,6.3,35.4,30.4,"6.9",7,6.1,-1.7,54,25.2,"86.2","13.6",36.1,18,4.2,5.7,25.5,29.5,30.2,4.7,26.7,"96.561670433","92.283861587"
"Suwinski, Jack",669261,2023,"0.793",".218",".244",".450",".460",".356",".352",".006","73.7",35.7,10.3,7.4,24,17.3,"7.3",14,11.4,-4.8,49.2,34.3,"90.5","22.4",34.2,44,15.7,7.5,17.8,34.2,20.6,3.6,43.4,"102.173377122","95.316292734"
"Contreras, William",661388,2023,"0.824",".255",".179",".411",".379",".375",".331",".034","73.8",44.9,22.5,16.1,38.2,27.3,"7.3",15,9.7,2.1,64.5,27.5,"91.3","4.7",27.1,39,9.4,6.2,21.3,16.8,41.5,3.6,48.7,"103.241329369","96.097846496"
"Walker, Christian",572233,2023,"0.830",".251",".210",".397",".380",".324",".318",".007","75",50.1,14.8,10.8,26,19,"7.4",29,8.2,-4.8,46.3,30.9,"88","15.8",32.6,53,11.4,6,19.2,29.2,28.9,5.2,40.4,"100.601281422","94.397470475"
"Kwan, Steven",680757,2023,"0.710",".282",".076",".306",".311",".301",".317","-0.014","64.1",0.2,4.7,4.2,45.1,41.1,"6.4",10,2,0.1,30.8,34.9,"86","10.7",37.7,6,1.1,2.8,29.3,26.3,38.1,2.5,18.8,"94.063409324","91.031738203"
"Albies, Ozzie",645277,2023,"0.849",".266",".201",".400",".375",".336",".322",".014","70",10.9,11.1,9.1,30.7,25.2,"7.3",8,13.7,-6.8,60.7,34.2,"88.7","16.6",37.4,41,8.2,10.5,23.3,27.4,28.2,2,39,"98.667615565","93.481568303"
"Jung, Josh",673962,2023,"0.782",".260",".222",".449",".453",".386",".378",".006","71.2",13.2,16,10.7,32.7,21.8,"7",9,12.5,1.8,45.9,38.9,"91.8","15",41.9,39,11.9,7.9,27.1,25.5,25.5,1.8,47.4,"101.620526098","95.373200793"
"Friedl Jr., TJ",670770,2023,"0.819",".240",".082",".383",".296",".339",".293",".039","68.6",3.6,8.6,6.9,35.4,28.3,"6.7",5,8.4,-9.6,57.9,28.5,"86.7","16.1",32,13,3.2,2.2,26.9,30.6,26.9,10.3,27.6,"96.368739947","92.196228515"
"Seager, Corey",608369,2023,"1.013",".314",".298",".481",".472",".395",".383",".013","71.8",17.3,18.7,13.8,40,29.4,"6.6",8,14.1,-2.8,53.7,33.7,"93.3","13",38,60,15.2,11.4,20.8,21.3,27.6,3.8,53.2,"103.543493485","96.785948962"
"Hoerner, Nico",663538,2023,"0.729",".273",".083",".327",".313",".323",".314",".010","68.8",2.5,10.4,9.2,40,35.6,"7.1",5,4.7,-0.4,43.4,32.7,"86.6","10.5",33.2,10,1.8,4.2,24.9,25.8,38.4,4.6,33.4,"97.320472852","92.695131651"
"Merrifield, Whit",593160,2023,"0.700",".242",".093",".340",".304",".330",".295",".030","64.8",1.2,4.9,4,35.7,29.1,"6.9",3,11.5,-2.1,50.5,33.4,"85.1","14.4",37.2,11,2.4,5.3,26.5,30.8,31.4,3.5,24.3,"94.880835796","91.453019024"
"Marte, Ketel",606466,2023,"0.843",".266",".161",".392",".365",".338",".330",".010","73.2",34.5,17.7,14.1,31.9,25.4,"7.5",9,8.1,-7.5,52.2,32.8,"91.1","10.7",30.8,37,8,6,23.4,24.5,36.3,1.7,42.8,"101.585403319","95.10445528"
"De La Cruz, Bryan",650559,2023,"0.715",".273",".172",".372",".405",".337",".362","-0.016","72.2",23.6,16.7,12.4,33.1,24.5,"7.7",6,12.6,-0.4,55.3,38.1,"89.9","11.8",41,39,8.8,7.2,27.4,23.1,30.5,2.3,42.5,"100.272527091","94.400399818"
"France, Ty",664034,2023,"0.703",".270",".151",".329",".367",".312",".336","-0.020","71.8",19.5,11.8,9.6,29.6,24.2,"7.8",11,12.9,0.5,49.3,35.3,"87.5","13.7",36.9,32,6.8,5.1,28.7,25.3,29.3,4.5,38.6,"99.277871319","93.765945224"
"Báez, Javier",595879,2023,"0.592",".234",".121",".307",".334",".291",".310","-0.012","74.1",45,17.8,12.1,29,19.8,"8.5",2,10.3,-1.5,53.7,29.1,"88","9.4",28.9,20,5.2,7,21.9,21.9,39.9,3.1,39.7,"100.19637776","94.157773958"
"Vierling, Matt",663837,2023,"0.717",".266",".130",".360",".371",".340",".348","-0.005","71.3",12.6,16.3,13.1,29.1,23.4,"7.5",5,4.5,1.5,41,30.4,"89.1","9.1",32.2,17,4.6,5.1,26,21.7,38.2,3,42.8,"100.577331105","94.490701519"
"Alonso, Pete",624413,2023,"0.822",".246",".281",".402",".436",".292",".332","-0.029","75.7",56,16.6,12.5,25.4,19,"7.4",7,13.4,-7.8,55,31.5,"89.5","18.2",32.3,62,14.7,6.4,17.6,29.5,28,3.8,40.1,"102.342134502","95.253955701"
"Edman, Tommy",669242,2023,"0.706",".262",".128",".329",".338",".298",".317","-0.014","70.8",15.9,14.9,12.9,36.9,32,"6.9",2,7.4,-0.6,55.3,24.3,"89.1","7.5",27.9,20,5,5.7,23.9,23.1,38.1,3.7,38.8,"99.456717727","93.865892803"
"Betts, Mookie",605141,2023,"0.987",".294",".268",".450",".437",".371",".358",".013","71.3",20.7,15.2,13.7,42.4,38.2,"7.2",17,11.6,-6.5,56.3,36.3,"92.4","20.6",42.5,60,12.4,11.2,24.7,29.7,20.5,1.5,48.5,"100.865674689","95.28290971"
"India, Jonathan",663697,2023,"0.745",".252",".172",".356",".374",".315",".329","-0.008","71.3",25,12.3,9.5,33.1,25.6,"7.3",6,10.3,-5.3,51.8,29.9,"89.5","15.2",37.2,27,7.7,7.7,25,27.8,28.4,2.8,38.6,"99.676934286","94.0396352"
"Paredes, Isaac",670623,2023,"0.840",".230",".139",".391",".322",".316",".291",".020","68.1",4.4,7.2,6,32.1,26.7,"8.1",5,15.7,-17,56.9,33,"86.9","22.2",32.4,23,5.9,5.9,24.7,35.5,24.2,3.3,28.5,"96.372683866","92.205361059"
"Henderson, Gunnar",683002,2023,"0.814",".261",".212",".431",".431",".354",".364","-0.006","75.4",57.3,20,15.9,32.2,25.7,"7.3",4,10.2,2.7,49.3,33,"92","11.4",32.9,46,11.4,7.9,23.3,20.8,32.9,3.5,52,"102.730226238","96.062562903"
