"last_name, first_name","player_id","year","on_base_plus_slg","xba","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Robert Jr., Luis",673357,2023,"0.857",".262",".256",".488",".475",".383",".382",".002","75.9",62.6,15.2,10.7,24.5,17.2,"8",12,11.9,-6.2,51.9,35.2,"89.1","16.1",38,58,15.4,5.6,22.9,25.8,25.3,4.8,42.3,"101.844478191","95.05043424"
"Harper, Bryce",547180,2023,"0.900",".290",".240",".447",".470",".392",".394",".003","75.5",55,24.9,17.3,34.2,23.8,"7.4",7,12,0,45,36,"91.8","9.1",36.8,52,15.2,6.7,23.4,17.8,32.7,4.1,46.8,"103.839812899","96.235486154"
"Hernández, Teoscar",606192,2023,"0.740",".258",".218",".435",".466",".382",".388",".000","74",43.5,20.3,13.3,32.3,21.1,"7.9",18,12.5,-1.2,52.5,34.2,"91.3","12.3",35.2,58,13.8,6.4,24.9,22.8,29,2.6,49.4,"103.014681476","96.109592578"
"Casas, Triston",671213,2023,"0.857",".253",".246",".445",".449",".370",".359",".010","75.8",61.5,18.8,13.6,28.3,20.6,"7.8",6,13.5,-2.2,51.2,38.3,"91.1","15.7",36.1,40,13.1,7.5,21.3,28.5,27.2,2.3,46.6,"102.616692288","95.686960262"
"Turner, Justin",457759,2023,"0.800",".260",".184",".381",".367",".339",".320",".016","66.4",0.5,10,8.6,38.3,32.8,"6.5",4,10.7,-1.5,53.3,35,"89.5","16.5",36.8,26,5.7,9.3,25.8,29.7,27.3,2.2,39,"98.567368238","93.587032225"
"Estrada, Thairo",642731,2023,"0.731",".248",".123",".384",".350",".355",".328",".023","70.3",13.2,12.1,9.7,34.4,27.8,"7.2",12,10.2,-4.4,51.9,31.8,"85.9","10.8",34.7,18,4.8,3.7,27.3,24.1,30.8,8.8,33.7,"97.898139565","92.983630679"
"Gurriel Jr., Lourdes",666971,2023,"0.772",".264",".175",".373",".367",".320",".325","-0.003","69.9",4.6,15.9,13.2,40.5,33.6,"7.3",11,8.6,-1.3,48.5,34.9,"89.7","10.6",35.3,38,8.4,6.9,24.4,23.6,33.6,2.9,46,"99.859212133","94.368560668"
"Varsho, Daulton",662139,2023,"0.674",".232",".161",".342",".357",".294",".312","-0.012","74.6",47.1,11.7,9,24.8,19,"7.8",5,10.4,-4.2,56.9,29.4,"87.8","20.5",34.3,29,7.3,7.3,18.4,32.6,23.7,10.1,36.1,"99.853027513","94.005486074"
"Giménez, Andrés",665926,2023,"0.713",".245",".122",".343",".327",".313",".306",".006","68.8",5.8,9.8,7.5,30.1,23,"7",7,10.6,-1.1,49.7,32.3,"84.8","13.1",29.9,25,5.5,4.2,21,27.2,31.6,10,27,"96.663934128","92.344201908"
"Volpe, Anthony",683011,2023,"0.666",".233",".163",".357",".385",".301",".337","-0.024","70.9",9.1,10.5,8.2,30.3,23.5,"7.1",8,12.5,-2.1,57.2,33.7,"88.7","14.2",35.5,34,9,7.7,23.1,23.9,31.3,5,43,"99.54617672","93.954577957"
"Bell, Josh",605137,2023,"0.744",".263",".194",".370",".403",".325",".348","-0.016","72.3",29.1,15.3,11.7,31.1,23.8,"8.1",7,9.2,-0.4,59.2,34,"90.1","9.3",31.3,42,10.1,5.3,23.1,22.6,36.3,1.7,43,"101.611186796","94.955559951"
"Candelario, Jeimer",600869,2023,"0.807",".236",".171",".400",".359",".332",".313",".015","69.3",6.9,10.2,7.9,31.3,24.2,"7.8",13,12.2,-2.5,50.2,35,"88.3","14.1",36.9,30,7.9,7.3,21.7,27.7,29.6,5.2,36.4,"99.185208","93.708029184"
"Freeman, Freddie",518692,2023,"0.977",".323",".243",".463",".461",".405",".396",".008","70.5",11.4,13.5,11.3,30.2,25.2,"6.7",7,7.5,2.3,41,43.7,"90","15.2",46.6,58,11.1,8.8,29.6,21.7,25.7,2.7,42.2,"100.590638269","94.617661541"
"Soto, Juan",665742,2023,"0.929",".284",".254",".426",".446",".351",".367","-0.009","74.6",48.2,23.7,20,38,32.2,"7.3",15,9.3,4.3,57.3,26.6,"93.2","6.7",28.5,58,13,7.6,23.4,17.1,35.5,3.1,55.3,"104.484350409","97.215905977"
"Torres, Gleyber",650402,2023,"0.800",".282",".196",".364",".385",".323",".337","-0.009","71.6",22.4,18.4,14.8,38.1,30.7,"7.3",13,11.1,2.1,57.3,34.3,"89.7","15.1",37.3,40,7.9,7.5,25,27.4,29,2.8,40.3,"99.649800996","94.055057585"
"Melendez Jr., MJ",669004,2023,"0.714",".235",".197",".387",".411",".341",".344",".000","72.1",21.4,18,12.8,38.2,27.2,"7.7",8,14.3,1.3,48.8,32.1,"93.2","16.9",34.6,42,11.4,8.2,25.9,29.4,24,1.1,49.6,"101.434950217","95.609327411"
